"ID","Priority","Device Name","Alarm Name","Alarm Details","Start Time (Client Local) India Standard Time","Start Time (Device Local)","End Time (Client Local) India Standard Time","End Time (Device Local)"
"2853",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-21 08:17:01.521","2026-01-21 08:17:01.521 (India Standard Time)","2026-01-21 08:26:02.390","2026-01-21 08:26:02.390 (India Standard Time)"
"2855",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-21 08:23:30.890","2026-01-21 08:23:30.890 (India Standard Time)","2026-01-21 08:32:31.709","2026-01-21 08:32:31.709 (India Standard Time)"
"2856",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-21 08:28:07.881","2026-01-21 08:28:07.881 (India Standard Time)","2026-01-21 12:06:55.826","2026-01-21 12:06:55.826 (India Standard Time)"
"2860",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-21 12:05:20.498","2026-01-21 12:05:20.498 (India Standard Time)","2026-01-21 12:24:22.498","2026-01-21 12:24:22.498 (India Standard Time)"
"2861",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-21 12:05:32.364","2026-01-21 12:05:32.364 (India Standard Time)","2026-01-21 12:24:35.463","2026-01-21 12:24:35.463 (India Standard Time)"
"2862",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-21 12:20:11.388","2026-01-21 12:20:11.388 (India Standard Time)","2026-01-21 12:29:12.005","2026-01-21 12:29:12.005 (India Standard Time)"
"2863",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-21 12:23:26.692","2026-01-21 12:23:26.692 (India Standard Time)","2026-01-21 13:52:34.401","2026-01-21 13:52:34.401 (India Standard Time)"
"2864",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-21 13:47:40.885","2026-01-21 13:47:40.885 (India Standard Time)","2026-01-21 14:06:54.234","2026-01-21 14:06:54.234 (India Standard Time)"
"2865",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-21 13:47:55.553","2026-01-21 13:47:55.553 (India Standard Time)","2026-01-21 14:06:57.072","2026-01-21 14:06:57.072 (India Standard Time)"
"2867",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-21 14:07:19.893","2026-01-21 14:07:19.893 (India Standard Time)","2026-01-21 14:16:21.005","2026-01-21 14:16:21.005 (India Standard Time)"
"2868",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-21 14:11:35.090","2026-01-21 14:11:35.090 (India Standard Time)","2026-01-25 11:20:16.359","2026-01-25 11:20:16.359 (India Standard Time)"
"2869",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-25 11:17:54.142","2026-01-25 11:17:54.142 (India Standard Time)","2026-01-25 12:47:05.465","2026-01-25 12:47:05.465 (India Standard Time)"
"2870",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-25 11:18:16.323","2026-01-25 11:18:16.323 (India Standard Time)","2026-01-25 11:27:17.149","2026-01-25 11:27:17.149 (India Standard Time)"
"2874",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-25 12:09:20.568","2026-01-25 12:09:20.568 (India Standard Time)","2026-01-25 12:48:23.816","2026-01-25 12:48:23.816 (India Standard Time)"
"2875",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-25 12:45:57.908","2026-01-25 12:45:57.908 (India Standard Time)","2026-01-25 12:54:58.716","2026-01-25 12:54:58.716 (India Standard Time)"
"2876",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-25 12:46:34.209","2026-01-25 12:46:34.209 (India Standard Time)","2026-01-25 13:55:40.046","2026-01-25 13:55:40.046 (India Standard Time)"
"2877",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-25 14:09:10.366","2026-01-25 14:09:10.366 (India Standard Time)","2026-01-26 07:18:03.457","2026-01-26 07:18:03.457 (India Standard Time)"
"2878",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-26 07:16:11.386","2026-01-26 07:16:11.386 (India Standard Time)","2026-01-26 07:25:39.770","2026-01-26 07:25:39.770 (India Standard Time)"
"2879",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-26 07:16:27.502","2026-01-26 07:16:27.502 (India Standard Time)","2026-01-26 07:25:42.700","2026-01-26 07:25:42.700 (India Standard Time)"
"2880",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-26 07:16:28.509","2026-01-26 07:16:28.509 (India Standard Time)","2026-01-26 07:25:42.700","2026-01-26 07:25:42.700 (India Standard Time)"
"2882",201,"POWERHOUSE_1.DG_1","Communication Status","Communications restored","2026-01-26 07:24:03.990","2026-01-26 07:24:03.990 (India Standard Time)","2026-01-28 09:32:41.874","2026-01-28 09:32:41.874 (India Standard Time)"
"2883",201,"POWERHOUSE_1.B_BLOCK","Communication Status","Communications restored","2026-01-28 09:24:49.759","2026-01-28 09:24:49.759 (India Standard Time)","2026-01-28 09:33:48.973","2026-01-28 09:33:48.973 (India Standard Time)"
"2884",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-28 09:29:25.312","2026-01-28 09:29:25.312 (India Standard Time)","2026-01-28 09:38:25.975","2026-01-28 09:38:25.975 (India Standard Time)"
"2885",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-28 09:29:29.218","2026-01-28 09:29:29.218 (India Standard Time)","2026-01-28 09:38:29.894","2026-01-28 09:38:29.894 (India Standard Time)"
"2888",201,"POWERHOUSE_1.DG_1","Communication Status","Offline","2026-01-28 09:36:11.704","2026-01-28 09:36:11.704 (India Standard Time)","2026-01-28 09:36:11.704","2026-01-28 09:36:11.704 (India Standard Time)"
"2889",201,"POWERHOUSE_1.MAIN_VCB","Communication Status","Communications restored","2026-01-28 16:38:32.203","2026-01-28 16:38:32.203 (India Standard Time)","2026-01-28 16:47:32.314","2026-01-28 16:47:32.314 (India Standard Time)"
"2890",201,"POWERHOUSE_1.POWERHOUSE_1_INCOMER","Communication Status","Communications restored","2026-01-28 16:39:07.489","2026-01-28 16:39:07.489 (India Standard Time)","2026-01-28 16:48:05.791","2026-01-28 16:48:05.791 (India Standard Time)"
"2891",201,"POWERHOUSE_1.FROM_POWERHOUSE_2","Communication Status","Communications restored","2026-01-28 16:42:09.557","2026-01-28 16:42:09.557 (India Standard Time)","2026-01-28 16:51:06.173","2026-01-28 16:51:06.173 (India Standard Time)"
